SKU,Name,Quantity
BKH-100ML-TR,"بخاخ 100 مل شفاف",100
BKH-100ML-WH,"بخاخ 100 مل أبيض",100
BKH-100ML-BL,"بخاخ 100 مل أسود",100
BSC-010ML-TR,"بطل صغير 10 مل",100
BSC-020ML-TR,"بطل صغير 20 مل",100
BFT-500ML-BR-PA,"بطل بني دبدوب 500 مل مع بم أسود",100
BFT-300ML-BR-PA,"بطل بني دبدوب 300 مل مع بم أسود",100
BSL-300ML-BL-CG,"بطل أسود سلم رفيع 300 مل مع قبغ ذهبي قلاب",100
BSL-500ML-BL-CG,"بطل أسود سلم رفيع 500 مل مع قبغ ذهبي قلاب",100
BSQ-300ML-WH-PW,"بطل أبيض 300 مربع مع بم أبيض",100
BSQ-500ML-WH-PW,"بطل أبيض 500 مربع مع بم أبيض",100
KB-030ML-WH,"كب 30 مل أبيض",100
KB-030ML-PN,"كب 30 مل وردي",100
KB-030ML-BR,"كب 30 مل بني",100
KB-030ML-OR,"كب 30 مل برتقالي",100
KB-050ML-WH,"كب 50 مل أبيض",100
KB-050ML-PN,"كب 50 مل وردي",100
KB-050ML-BR,"كب 50 مل بني",100
KB-050ML-OR,"كب 50 مل برتقالي",100
KB-100ML-WH,"كب 100 مل أبيض",100
KB-100ML-PN,"كب 100 مل وردي",100
KB-100ML-BR,"كب 100 مل بني",100
KB-100ML-OR,"كب 100 مل برتقالي",100
KB-200ML-WH,"كب 200 مل أبيض",100
KB-200ML-PN,"كب 200 مل وردي",100
KB-200ML-BR,"كب 200 مل بني",100
KB-200ML-OR,"كب 200 مل برتقالي",100
KBZ-020GM-CB,"كب زجاجي مضبب 20غم خيزران",100
KBZ-050GM-CB,"كب زجاجي مضبب 50غم خيزران",100
KBZ-100GM-CB,"كب زجاجي مضبب 100غم خيزران",100
KBM-100ML-TR-CS,"كب مرن شفاف 100 مل سلفر",100
KBM-150ML-TR-CS,"كب مرن شفاف 150 مل سلفر",100
KBM-200ML-TR-CS,"كب مرن شفاف 200 مل سلفر",100
BTL-500ML-BR-PG,"بطل بني 500 مل بم ذهبي",100
