SKU,Name,Quantity
BKH-100ML-TR,بخاخ 100 مل شفاف,5100
BKH-100ML-WH,بخاخ 100 مل أبيض,5100
BKH-100ML-BL,بخاخ 100 مل أسود,5086
BSC-010ML-TR,بطل صغير 10 مل,4800
BSC-020ML-TR,بطل صغير 20 مل,4800
BFT-500ML-BR-PA,بطل بني دبدوب 500 مل مع بم أسود,5040
BFT-300ML-BR-PA,بطل بني دبدوب 300 مل مع بم أسود,5398
BSL-300ML-BL-CG,بطل أسود سلم رفيع 300 مل مع قبغ ذهبي قلاب,5408
BSL-500ML-BL-CG,بطل أسود سلم رفيع 500 مل مع قبغ ذهبي قلاب,4944
BSQ-300ML-WH-PW,بطل أبيض 300 مربع مع بم أبيض,2998
BSQ-500ML-WH-PW,بطل أبيض 500 مربع مع بم أبيض,2700
KB-030ML-WH,كب 30 مل أبيض,5000
KB-030ML-PN,كب 30 مل وردي,5000
KB-030ML-BR,كب 30 مل بني,4999
KB-030ML-OR,كب 30 مل برتقالي,5000
KB-050ML-WH,كب 50 مل أبيض,5000
KB-050ML-PN,كب 50 مل وردي,4999
KB-050ML-BR,كب 50 مل بني,4000
KB-050ML-OR,كب 50 مل برتقالي,6000
KB-100ML-WH,كب 100 مل أبيض,4469
KB-100ML-PN,كب 100 مل وردي,5000
KB-100ML-BR,كب 100 مل بني,5000
KB-100ML-OR,كب 100 مل برتقالي,5000
KB-200ML-WH,كب 200 مل أبيض,0
KB-200ML-PN,كب 200 مل وردي,4760
KB-200ML-BR,كب 200 مل بني,5000
KB-200ML-OR,كب 200 مل برتقالي,4999
KBZ-020GM-CB,كب زجاجي مضبب 20غم خيزران,5000
KBZ-050GM-CB,كب زجاجي مضبب 50غم خيزران,5000
KBZ-100GM-CB,كب زجاجي مضبب 100غم خيزران,5000
KBM-100ML-TR-CS,كب مرن شفاف 100 مل سلفر,5040
KBM-150ML-TR-CS,كب مرن شفاف 150 مل سلفر,5040
KBM-200ML-TR-CS,كب مرن شفاف 200 مل سلفر,5040
BTL-500ML-BR-PG,بطل بني 500 مل بم ذهبي,1000
